elt   T30A      T30B      T35A      T35B      T35C      T40A      T40B      T40C    
KE    1.28      1.84      1.23      2.03      2.47      1.21      2.00      2.54    
1H    11.6      11.6      12.8      12.8      12.8      13.7      13.7      13.7      
4He   10.3      10.3      12.0      12.0      12.1      13.9      13.9      13.9      
67Ga  4.71E-08  5.20E-08  9.42E-09  3.64E-08  6.46E-08  1.53E-09  3.11E-08  1.06E-07  
68Ga  1.07E-08  1.10E-08  3.13E-09  1.07E-08  1.09E-08  6.55E-10  9.80E-09  1.24E-08  
69Ga  7.12E-07  7.71E-07  5.72E-07  9.13E-07  9.10E-07  4.27E-07  1.08E-06  1.21E-06  
70Ga  2.06E-08  2.03E-08  1.44E-08  2.56E-08  2.53E-08  1.18E-08  4.21E-08  4.47E-08  
64Ge  3.70E-19  5.70E-19  3.86E-20  1.19E-19  1.88E-10  1.35E-20  6.70E-20  1.24E-16  
65Ge  2.49E-22  5.89E-22  8.56E-24  3.28E-23  9.04E-18  2.59E-24  1.99E-23  3.74E-23  
66Ge  1.69E-12  5.22E-07  1.61E-13  2.73E-07  1.65E-05  1.61E-14  2.30E-12  1.08E-05  
67Ge  4.24E-12  5.21E-12  4.28E-13  6.79E-12  4.20E-09  4.33E-14  3.72E-12  7.41E-10  
68Ge  3.71E-09  8.46E-09  1.68E-10  1.77E-08  2.23E-08  3.06E-11  4.25E-09  4.79E-08  
69Ge  4.89E-09  7.18E-09  8.91E-10  8.42E-09  8.52E-09  3.53E-10  3.72E-09  1.21E-08  
70Ge  1.92E-06  2.40E-06  8.48E-07  2.17E-06  2.20E-06  5.69E-07  1.66E-06  2.92E-06  
71Ge  3.23E-06  3.17E-06  4.53E-06  6.02E-06  5.95E-06  3.58E-06  8.42E-06  8.33E-06  
Mass  26.9      28.0      29.8      32.8      33.2      31.1      35.8      38.2      
